篇名,分词结果
"大剂量薏苡仁善止痛","大剂量 薏苡仁 善 止痛"
"大剂量生脉注射液对不稳定型心绞痛病人P选择素及D-二聚体的影响","大剂量 生脉注射液 对 不稳定型心绞痛病人P选择素 及 D-二聚体的 影响"
"大剂量黄芪静滴治疗格林—巴利综合征68例体会","大剂量 黄芪 静滴 治疗 格林—巴利综合征68例 体会"
"大剂量参麦注射液纠正规律血液透析中低血压","大剂量 参麦注射液 纠正 规律血液透析中低血压"
"大剂量黄芪注射液治疗格林-巴利综合征25例","大剂量 黄芪 注射液 治疗 格林-巴利综合征25例"
"大剂量皮硝腹部外敷缓解胰腺炎疼痛的临床疗效观察","大剂量 皮硝 腹部外敷 缓解 胰腺炎疼痛的临床疗效观察"
"大剂量赤芍治疗急性病毒性肝炎并高胆红素血症56例","大剂量 赤芍 治疗 急性病毒性肝炎 并 高胆红素血症56例"
"大剂量舒血宁注射液治疗血管性痴呆临床研究","大剂量 舒血宁注射液 治疗 血管性痴呆临床研究"
"大剂量六味地黄丸治疗2型糖尿病78例","大剂量 六味地黄丸 治疗 2型糖尿病78例"
"大剂量疏血通注射液治疗急性脑梗死32例","大剂量 疏血通注射液 治疗 急性脑梗死32例"
"大剂量血脂康在经皮冠状动脉介入治疗中的心肌保护作用","大剂量 血脂康 在 经皮冠状动脉介入 治疗 中的心肌保护作用"
"大剂量参麦注射液辅助治疗新生儿充血性心力衰竭疗效观察","大剂量 参麦注射液 辅助治疗 新生儿充血性心力衰竭 疗效观察"
"苦参碱联合大剂量丹参注射液治疗病毒性肝炎高胆红素血症临床观察","苦参碱 联合 大剂量 丹参注射液 治疗 病毒性肝炎高胆红素血症临床观察"
"李虎明大剂量黄连内服促进伤口愈合的机理探讨","李虎明 大剂量 黄连 内服促进伤口愈合的机理 探讨"
"大剂量茯苓治疗不寐24例","大剂量 茯苓 治疗 不寐24例"
"大剂量黄芪佐治新生儿缺氧缺血性脑病的疗效观察","大剂量 黄芪 佐治 新生儿缺氧缺血性脑病的疗效观察"
"黄喘平超大剂量雾化吸入治疗支气管哮喘疗效观察","黄喘平 超大剂量 雾化吸入 治疗 支气管哮喘 疗效观察"
"大剂量脉络宁治疗糖尿病性脑梗死40例观察","大剂量 脉络宁 治疗 糖尿病性脑梗死40例 观察"
"大剂量丹参注射液对慢性肺心病肺动脉高压的影响","大剂量 丹参注射液 对 慢性肺心病肺动脉高压的 影响"
"大剂量参麦注射液抢救老年肺心病喘脱","大剂量 参麦注射液 抢救 老年肺心病喘脱"
"大剂量芍药甘草汤治验举隅","大剂量 芍药甘草汤 治验 举隅"
"大剂量乙肝疫苗穴位注射治疗HBV携带者的临床研究","大剂量 乙肝疫苗 穴位注射 治疗 HBV携带者的临床研究"
"大剂量黄芪对急性白血病患儿外周血树突状细胞的诱导和抗原呈递功能的影响","大剂量 黄芪 对 急性白血病患儿外周血树突状细胞的诱导 和 抗原呈递功能的 影响"
"大剂量服用蜂王浆对腰肌劳损引起的坐骨神经痛好","大剂量 服用 蜂王浆 对 腰肌劳损引起的坐骨神经痛 好"
"大剂量赤芍治疗重度瘀胆型肝炎30例报告","大剂量 赤芍 治疗 重度瘀胆型肝炎30例 报告"
"大剂量灯盏花素治疗不稳定型心绞痛的临床研究","大剂量 灯盏花素 治疗 不稳定型心绞痛的临床研究"
"大剂量食用蜂蜜治愈腰椎管狭窄症","大剂量 食用 蜂蜜 治愈 腰椎管狭窄症"
"大剂量黄芪治疗病毒性心肌炎81例临床观察","大剂量 黄芪 治疗 病毒性心肌炎81例临床观察"
"大剂量茵陈治疗ABO母儿血型不合效果观察","大剂量 茵陈 治疗 ABO母儿血型不合效果观察"
"大剂量甘遂治疗急性肠梗阻","大剂量 甘遂 治疗 急性肠梗阻"
"大剂量车前子治婴幼儿腹泻","大剂量 车前子 治 婴幼儿腹泻"
"近20年附子超大剂量应用概况","近20年 附子 超大剂量 应用 概况"
"鸡血藤临床大剂量应用概述","鸡血藤临床 大剂量 应用 概述"
"大剂量中药辨证救治重症肺炎并多脏器功能衰竭1例","大剂量 中药 辨证 救治 重症肺炎 并 多脏器功能衰竭1例"
"大剂量雷公藤多甙片为主治疗原发性肾病综合征氮质血症1例","大剂量 雷公藤多甙片 为主 治疗 原发性肾病综合征氮质血症1例"
"大剂量生脉注射液救治休克45例","大剂量 生脉注射液 救治 休克45例"
"大剂量参附注射液治疗重度亡阳1例","大剂量 参附注射液 治疗 重度亡阳1例"
"大剂量黄连治验","大剂量 黄连 治验"
"大剂量黄芪和丹参治疗急性心肌炎246例","大剂量 黄芪 和 丹参 治疗 急性心肌炎246例"
"大剂量葛根水煎剂干预急性脑梗死的临床研究","大剂量 葛根 水煎剂 干预 急性脑梗死的临床研究"
"大剂量熟附子治疗脉管炎117例体会","大剂量 熟附子 治疗 脉管炎117例 体会"
"大剂量生地黄为主治痹证","大剂量 生地黄 为主 治 痹证"
"大剂量丹参注射液治疗脑栓塞1例","大剂量 丹参注射液 治疗 脑栓塞1例"
"大剂量清开灵注射液治疗急性脑梗塞40例","大剂量 清开灵注射液 治疗 急性脑梗塞40例"
"大剂量鲜旱莲草治疗气管炎","大剂量 鲜旱莲草 治疗 气管炎"
"大剂量参麦注射液抢救多发伤并多器官功能不全综合征50例","大剂量 参麦注射液 抢救 多发伤 并 多器官功能不全综合征50例"
"大剂量参附注射液治疗难治性心力衰竭34例","大剂量 参附注射液 治疗 难治性心力衰竭34例"
"大剂量白术治疗便秘3例","大剂量 白术 治疗 便秘3例"
"产后误服大剂量麝香致严重自汗症1例报告","产后误服 大剂量 麝香 致 严重自汗症1例 报告"
"大剂量鸡血藤治疗重症肌无力","大剂量 鸡血藤 治疗 重症肌无力"
"大剂量血塞通注射液对糖尿病周围神经传导速度的影响","大剂量 血塞通注射液 对 糖尿病周围神经传导速度的 影响"
"大剂量生脉注射液与疏血通注射液合用治疗10例心搏骤停的临床报告","大剂量 生脉注射液 与 疏血通注射液 合用 治疗 10例心搏骤停的临床报告"
"大剂量黄芪注射液伍川芎嗪注射液治疗缺血性中风疗效观察","大剂量 黄芪 注射液 伍 川芎嗪注射液 治疗 缺血性中风 疗效观察"
"大剂量黄连治验三则","大剂量 黄连 治验 三则"
"大剂量生地为主治疗原发性血小板减少紫癜(ITP)10例","大剂量 生地 为主 治疗 原发性血小板减少紫癜 (ITP)10例"
"大剂量生脉注射液对慢性心功能衰竭患者凝血功能的影响","大剂量 生脉注射液 对 慢性心功能衰竭患者凝血功能的 影响"
"大剂量川芎嗪治疗糖尿病周围神经病变60例分析","大剂量 川芎嗪 治疗 糖尿病周围神经病变60例分析"
"大剂量大黄治疗产后热毒病100例疗效分析","大剂量 大黄 治疗 产后热毒病100例 疗效分析"
"大剂量败酱草治疗女性生殖系统炎症","大剂量 败酱草 治疗 女性生殖系统炎症"
"大剂量川芎嗪治疗缺血性脑梗死102例","大剂量 川芎嗪 治疗 缺血性脑梗死102例"
"三草解毒汤预防大剂量甲孕酮不良反应的临床观察","三草解毒汤 预防 大剂量 甲孕酮 不良反应的临床观察"
"大剂量灯盏花素注射液治疗糖尿病足1例","大剂量 灯盏花素注射液 治疗 糖尿病足1例"
"中药大剂量应用治验二则","中药 大剂量 应用 治验 二则"
"大剂量附子治愈定时高热1例","大剂量 附子 治愈 定时高热1例"
"浅谈治疗小儿哮喘药物大剂量分服法之体会","浅谈 治疗 小儿哮喘药物 大剂量 分服法之 体会"
"大剂量复方丹参注射液治疗不稳定型心绞痛患者20例","大剂量 复方丹参注射液 治疗 不稳定型心绞痛患者20例"
"《伤寒论》药物大剂量应用初步探讨","《伤寒论》药物 大剂量 应用 初步探讨"
"大剂量生脉合黄芪注射液治疗糖尿病急症疗效观察","大剂量 生脉合黄芪注射液 治疗 糖尿病急症 疗效观察"
"大剂量阿胶治疗晚期肿瘤化疗后血小板减少症的临床研究","大剂量 阿胶 治疗 晚期肿瘤 化疗后血小板减少症的临床研究"
"早期大剂量应用三七总皂甙治疗脑出血60例","早期 大剂量 应用 三七总皂甙 治疗 脑出血60例"
"大剂量小青龙汤治疗肺心病疗效观察","大剂量 小青龙汤 治疗 肺心病 疗效观察"
"黄芪和大剂量川芎嗪注射液联合治疗不稳定型心绞痛60例","黄芪 和 大剂量 川芎嗪注射液 联合 治疗 不稳定型心绞痛60例"
"大剂量大黄煎剂治疗应激性溃疡出血28例","大剂量 大黄 煎剂 治疗 应激性溃疡出血28例"
"大剂量土茯苓为主治疗心律失常","大剂量 土茯苓 为主 治疗 心律失常"
"大剂量黄芪对慢性肾炎患者血、尿TNF-α的影响","大剂量 黄芪 对 慢性肾炎患者血 、 尿TNF-α的 影响"
"大剂量小青龙汤治疗肺心病哮喘疗效观察","大剂量 小青龙汤 治疗 肺心病哮喘 疗效观察"
"运用大剂量青风藤治疗风湿病的体会","运用 大剂量 青风藤 治疗 风湿病的 体会"
"大剂量清开灵治疗肺性脑病的疗效观察","大剂量 清开灵 治疗 肺性脑病的 疗效观察"
"大剂量糖皮质激素应用早期汗出过度探讨","大剂量 糖皮质激素 应用 早期汗出过度 探讨"
"大剂量中药内服为主治疗急性化脓性骨髓炎42例","大剂量 中药 内服 为主 治疗 急性化脓性骨髓炎42例"
"大剂量豨莶草为主治疗胸痹","大剂量 豨莶草 为主 治疗 胸痹"
"大剂量精制蝮蛇抗栓酶治疗早期脑梗塞135例","大剂量 精制蝮蛇抗栓酶 治疗 早期脑梗塞135例"
"大剂量黄芪注射液对慢性肾功能不全患者血浆、尿液内皮素的影响","大剂量 黄芪 注射液 对 慢性肾功能不全患者血浆 、 尿液内皮素的 影响"
"大剂量活蛇治愈药物性剥脱性皮炎1例","大剂量 活蛇 治愈 药物性剥脱性皮炎1例"
"大剂量维生素C和黄芪注射液治疗儿童病毒性心肌炎50例","大剂量 维生素C 和 黄芪 注射液 治疗 儿童病毒性心肌炎50例"
"大剂量雷公藤多甙片治疗肾性蛋白尿47例","大剂量 雷公藤多甙片 治疗 肾性蛋白尿47例"
"大剂量黄芪对慢性肾功能不全患者血、尿降钙素基因相关肽的影响","大剂量 黄芪 对 慢性肾功能不全患者血 、 尿降钙素基因相关肽的 影响"
"联用大剂量苦黄注射液和复方丹参注射液治疗重度黄疸型肝炎30例","联用 大剂量 苦黄注射液 和 复方丹参注射液 治疗 重度黄疸型肝炎30例"
"清开灵注射液为主抢救大剂量镇静催眠剂中毒49例","清开灵注射液 为主 抢救 大剂量 镇静催眠剂 中毒49例"
"大剂量葛根素抗心绞痛作用的对比研究","大剂量 葛根素 抗心绞痛作用的对比研究"
"大剂量黄芪注射液治疗糖尿病肾病慢性肾功能衰竭的临床观察","大剂量 黄芪 注射液 治疗 糖尿病肾病慢性肾功能衰竭的临床观察"
"大剂量脉络宁治疗女性下肢深静脉栓塞的临床观察","大剂量 脉络宁 治疗 女性下肢深静脉栓塞的临床观察"
"大剂量益气强心中药对充血性心力衰竭的影响","大剂量 益气强心中药 对 充血性心力衰竭的 影响"
"大剂量三七总甙注射液治疗冠心病心绞痛疗效观察","大剂量 三七总甙 注射液 治疗 冠心病心绞痛 疗效观察"
"大剂量川芎治疗偏头痛50例","大剂量 川芎 治疗 偏头痛50例"
"中药大剂量疗法治疗小儿感染性发热82例退热疗效观察","中药 大剂量 疗法 治疗 小儿感染性发热82例退热 疗效观察"
"防已猪苓汤合大剂量安体舒通治疗肝硬化腹水30例","防已猪苓汤 合 大剂量 安体舒通 治疗 肝硬化腹水30例"
"大剂量黄芪注射液治疗难治性心衰的临床观察","大剂量 黄芪 注射液 治疗 难治性心衰的临床观察"
"大剂量生乌附治疗截瘫6例小结","大剂量 生乌附 治疗 截瘫6例 小结"
"大剂量复方丹参注射液治疗急性白血病并发弥散性血管内凝血24例","大剂量 复方丹参注射液 治疗 急性白血病 并发弥散性血管内凝血24例"
"大剂量芒硝在皮肤科临床的床用","大剂量 芒硝 在 皮肤科临床的床用"
"大剂量黄芪注射液治疗橄榄-桥脑-小脑萎缩","大剂量 黄芪 注射液 治疗 橄榄-桥脑-小脑萎缩"
"大剂量川乌、草乌在痹证中的应用","大剂量 川乌 、 草乌 在 痹证 中的 应用"
"大剂量连翘疗黄疸","大剂量 连翘 疗 黄疸"
"大剂量麻黄附子治疗窦房结综合征2例报告","大剂量 麻黄附子 治疗 窦房结综合征2例 报告"
"大剂量川芎嗪治疗急性脑梗死94例","大剂量 川芎嗪 治疗 急性脑梗死94例"
"大剂量白芍配麻仁丸治疗子宫全切、阴道手术后便秘","大剂量 白芍 配麻仁丸 治疗 子宫全切 、 阴道手术后便秘"
"参麦注射液联合大剂量维生素C治疗病毒性心肌炎的体会","参麦注射液 联合 大剂量 维生素C 治疗 病毒性心肌炎的 体会"
"大剂量黄芪为主配合丹参静脉滴注治疗狼疮性肾炎30例临床观察","大剂量 黄芪 为主 配合 丹参 静脉滴注 治疗 狼疮性肾炎30例临床观察"
"大剂量六味地黄丸治疗慢性食道炎98例","大剂量 六味地黄丸 治疗 慢性食道炎98例"
"大剂量黄芪对中风后遗症30例的疗效观察","大剂量 黄芪 对 中风后遗症30例的疗效观察"
"大剂量紫草在非手术治疗异位妊娠中杀胚作用的临床观察","大剂量 紫草 在 非手术 治疗 异位妊娠中杀胚作用的临床观察"
"大剂量误服土豆根中毒1例报告","大剂量 误服土豆根 中毒 1例 报告"
"大剂量复方丹参治疗病毒性脑炎69例疗效观察","大剂量 复方丹参 治疗 病毒性脑炎69例 疗效观察"
"大剂量三七粉治疗鼻出血的疗效及安全性分析","大剂量 三七粉 治疗 鼻出血的疗效 及 安全性分析"
"大剂量车前子治疗顽固性便秘","大剂量 车前子 治疗 顽固性便秘"
"大剂量丹参注射液用于冠心病心肌缺血非心脏手术54例","大剂量 丹参注射液 用于 冠心病心肌缺血非心脏手术54例"
"大剂量复方丹参佐治肾病综合征近期疗效观察","大剂量 复方丹参 佐治 肾病综合征近期 疗效观察"
"大剂量复方大承气汤治疗急性肠梗阻34例疗效观察","大剂量 复方大承气汤 治疗 急性肠梗阻34例 疗效观察"
"大剂量川芎嗪治疗脑炎恢复期36例","大剂量 川芎嗪 治疗 脑炎 恢复期36例"
"大剂量和小剂量川芎嗪治疗脑梗塞的比较","大剂量 和小剂量 川芎嗪 治疗 脑梗塞的比较"
"大剂量丹参液冲击治疗脑血栓形成45例疗效观察","大剂量 丹参 液 冲击 治疗 脑血栓形成45例 疗效观察"
"大剂量黄连素治疗心律失常32例观察","大剂量 黄连素 治疗 心律失常32例 观察"
"抗栓酶-3号大剂量冲击疗法治疗急性脑血栓形成36例","抗栓酶-3号 大剂量 冲击疗法 治疗 急性脑血栓形成36例"
"大剂量川芎治愈髂静脉栓塞1例报告","大剂量 川芎 治愈 髂静脉栓塞1例 报告"
"大剂量芍药甘草汤为主治疗阑尾炎40例体会","大剂量 芍药甘草汤 为主 治疗 阑尾炎40例 体会"
"大剂量黄芪治疗顽固性心力衰竭体会","大剂量 黄芪 治疗 顽固性心力衰竭 体会"
"大剂量穿琥宁治疗急性呼吸道感染性疾病150例","大剂量 穿琥宁 治疗 急性呼吸道感染性疾病150例"
"温阳利水与大剂量消心痛治疗难治性心衰","温阳利水 与 大剂量 消心痛 治疗 难治性心衰"
"大剂量川芎嗪注射液对肺原性心脏病患者急性加重期的疗效观察","大剂量 川芎嗪 注射液 对 肺原性心脏病患者急性加重期的疗效观察"
"复方四金汤加用大剂量黄芪治疗中老年尿路结石42例","复方四金汤 加用 大剂量 黄芪 治疗 中老年尿路结石42例"
"大剂量黄芪液静滴对血小板减少性紫癜的治疗作用","大剂量 黄芪 液 静滴 对 血小板减少性紫癜的治疗作用"
"大剂量穿心莲治疗小儿病毒性顽固性上呼吸道感染","大剂量 穿心莲 治疗 小儿病毒性顽固性上呼吸道感染"
"大剂量石膏治疗剧烈头痛案","大剂量 石膏 治疗 剧烈头痛 案"
"大剂量生脉合丹参注射液救治急性心梗并心源性休克5例","大剂量 生脉合丹参 注射液 救治 急性心梗 并 心源性休克5例"
"大剂量槟榔驱绦虫32例观察","大剂量 槟榔 驱绦虫32例 观察"
"大剂量醒脑静注射液抢救病毒性脑炎昏迷1例","大剂量 醒脑静 注射液 抢救 病毒性脑炎昏迷1例"
"大剂量脉络宁治疗糖尿病坏疽1例","大剂量 脉络宁 治疗 糖尿病坏疽1例"
"大剂量川芎嗪治疗脑梗塞48例","大剂量 川芎嗪 治疗 脑梗塞48例"
"大剂量精制蝮蛇抗栓酶(Svate-3)治疗不稳定型心绞痛22例疗效观察","大剂量 精制蝮蛇抗栓酶 (Svate-3) 治疗 不稳定型心绞痛22例 疗效观察"
"大剂量附子在痹证中的应用","大剂量 附子 在 痹证 中的 应用"
"大剂量参麦注射液救治血脱举隅","大剂量 参麦注射液 救治 血脱 举隅"
"大剂量黄芪注射液治疗冠心病心绞痛68例临床观察","大剂量 黄芪 注射液 治疗 冠心病心绞痛68例临床观察"
"大剂量清开灵注射液在肝动脉栓塞术中的应用","大剂量 清开灵 注射液 在 肝动脉栓塞术中的 应用"
"大剂量生半夏在慢肝病脘腹胀满症中的应用","大剂量 生半夏 在 慢肝病脘腹胀满症中的 应用"
"大剂量对药挽治疑难杂症验案举隅","大剂量 对药 挽治疑难杂症 验案 举隅"
"大剂量泽漆为主治疗早期肝癌","大剂量 泽漆 为主 治疗 早期肝癌"
"大剂量方药治疗妇科出血症","大剂量 方药 治疗 妇科出血症"
"联用大剂量山莨菪碱和精制蝮蛇抗栓酶治疗糖尿病足30例","联用 大剂量 山莨菪碱 和 精制蝮蛇抗栓酶 治疗 糖尿病足30例"
"大剂量山萸肉配伍红参抢救元气欲脱证1例","大剂量 山萸肉 配伍 红参 抢救 元气欲脱证1例"
"大剂量蝉蜕治愈新生儿破伤风","大剂量 蝉蜕 治愈 新生儿破伤风"
"大剂量服用桂圆肉汤剂致虚不受补反应2例报告","大剂量 服用 桂圆肉汤剂 致虚 不受补反应2例 报告"
"大剂量对药挽治疑难杂症举隅","大剂量 对药 挽治疑难杂症 举隅"
"大剂量炙甘草加阿托品抢救草乌中毒致严重心律失常1例","大剂量 炙甘草 加 阿托品 抢救 草乌 中毒 致 严重心律失常1例"
"大剂量复方丹参注射液治疗新生儿缺氧缺血性脑病23例","大剂量 复方丹参注射液 治疗 新生儿缺氧缺血性脑病23例"
"联用乙胺碘呋酮大剂量谷维素及黄芪生脉饮治疗难治性频发室性早搏","联用乙胺碘呋酮 大剂量 谷维素 及 黄芪生脉饮 治疗 难治性频发室性早搏"
"大剂量对药治疗疑难杂证验案举隅","大剂量 对药 治疗 疑难杂证 验案 举隅"
"大剂量苏木治愈肋间神经痛12例体会","大剂量 苏木 治愈 肋间神经痛12例 体会"
"大剂量芍药甘草汤加味治疗肌肉痉挛性疼痛","大剂量 芍药甘草汤 加味 治疗 肌肉痉挛性疼痛"
"超大剂量云南白药治疗坏死性小肠炎","超大剂量 云南白药 治疗 坏死性小肠炎"
"大剂量麻黄附子细辛汤合桂枝汤治肝硬化腹水1则","大剂量 麻黄附子细辛汤 合 桂枝汤 治 肝硬化腹水1则"
"对“大剂量六神丸治愈12例顽固性头皮湿疹的体会”一文的验证","对 “大剂量六神丸治愈12例顽固性头皮湿疹的体会” 一文的验证"
"大剂量复方丹参注射液抗肝纤维化作用临床观察","大剂量 复方丹参注射液 抗肝纤维化作用 临床观察"
"应用大剂量茯苓治疗泄泻的体会","应用 大剂量 茯苓 治疗 泄泻的 体会"
"大剂量参麦、参附针救治感染性休克1例","大剂量 参麦 、 参附针 救治 感染性休克1例"
"大剂量仙鹤草煎剂超声雾化吸入治疗支气管扩张咯血","大剂量 仙鹤草 煎剂 超声雾化吸入 治疗 支气管扩张咯血"
"抢救超大剂量安定中毒1例成功体会","抢救 超大剂量 安定 中毒 1例成功体会"
"大剂量川芎复方治疗脉管炎1例","大剂量 川芎 复方 治疗 脉管炎1例"
"大剂量苦参治石淋","大剂量 苦参 治 石淋"
"大剂量丹参静滴为主治疗脑血栓形成27例","大剂量 丹参 静滴 为主 治疗 脑血栓形成27例"
"大剂量华蟾素治疗中晚期肝癌疗效观察","大剂量 华蟾素 治疗 中晚期肝癌 疗效观察"
"大剂量复方丹参治疗急性黄疸型病毒性肝炎临床观察","大剂量 复方丹参 治疗 急性黄疸型病毒性肝炎临床观察"
"大剂量黄芪在慢性肾炎中的应用","大剂量 黄芪 在 慢性肾炎 中的 应用"
"张志远教授应用大剂量黄芪经验","张志远教授应用 大剂量 黄芪 经验"
"大剂量生脉注射液抢救心源性休克体会","大剂量 生脉注射液 抢救 心源性休克 体会"
"大剂量复方丹参液静脉治疗冠心病38例","大剂量 复方丹参 液 静脉 治疗 冠心病38例"
"大剂量芍药甘草汤为主治疗胆囊炎36例","大剂量 芍药甘草汤 为主 治疗 胆囊炎36例"
"大剂量商陆、大黄为主治疗肝硬化腹水18例","大剂量 商陆 、 大黄 为主 治疗 肝硬化腹水18例"
"大剂量丹参对晚期癌性疼痛的止痛探讨","大剂量 丹参 对 晚期癌性疼痛的 止痛 探讨"
"大剂量丹参注射液治疗急性病毒性心肌炎64例","大剂量 丹参注射液 治疗 急性病毒性心肌炎64例"
"中药大剂量保留灌肠治疗慢性溃疡性结肠炎","中药 大剂量 保留灌肠 治疗 慢性溃疡性结肠炎"
"大剂量丹参为主抗肝纤维化的临床研究","大剂量 丹参 为主 抗肝纤维化的临床研究"
"大剂量生半夏治疗胃脘痞满症的几点体会","大剂量 生半夏 治疗 胃脘痞满症的几点 体会"
"大剂量乌附为主治疗痹证82例","大剂量 乌附 为主 治疗 痹证82例"
"大剂量蝉衣治疗破伤风","大剂量 蝉衣 治疗 破伤风"
"大剂量生川乌治疗中风、历节病经验谈","大剂量 生川乌 治疗 中风 、 历节病 经验谈"
"大剂量牛黄醒脑净治疗重症肝炎11例疗效观察","大剂量 牛黄醒脑净 治疗 重症肝炎11例 疗效观察"
"大剂量槐米泡剂治疗尿路结石","大剂量 槐米泡剂 治疗 尿路结石"
"大剂量川芎嗪静滴对肺心病患者血液流变学的影响","大剂量 川芎嗪 静滴 对 肺心病患者血液流变学的 影响"
"大剂量白术治疗便秘的临床验证","大剂量 白术 治疗 便秘的临床验证"
"大剂量川芎嗪治疗慢性肺心病加重期41例的疗效观察","大剂量 川芎嗪 治疗 慢性肺心病加重期41例的 疗效观察"
"大剂量肝炎灵治疗病毒性肝炎","大剂量 肝炎灵 治疗 病毒性肝炎"
"大剂量服用蜂王浆、蜂花粉使肝癌患者病愈有望","大剂量 服用 蜂王浆 、 蜂花粉 使 肝癌患者病愈有望"
"大剂量赤芍治疗病毒性肝炎高胆红素血症疗效观察","大剂量 赤芍 治疗 病毒性肝炎高胆红素血症 疗效观察"
"试用大剂量千金藤素治疗原发性血小板减少性紫瘕","试用 大剂量 千金藤素 治疗 原发性血小板减少性紫瘕"
"大剂量补骨脂益损汤治疗腰肌劳损10例观察","大剂量 补骨脂益损汤 治疗 腰肌劳损10例 观察"
"单味大剂量郁金治疗慢性肝炎麝浊异常32例","单味 大剂量 郁金 治疗 慢性肝炎麝浊异常32例"
"大剂量五灵脂的临床应用","大剂量 五灵脂 的临床应用"
"大剂量附子临床应用治验举隅","大剂量 附子 临床应用 治验 举隅"
"大剂量川芎治疗偏头痛50例","大剂量 川芎 治疗 偏头痛50例"
"大剂量莨菪碱对哮喘持续状态长期治疗的临床疗效分析——附131例报告","大剂量 莨菪碱 对 哮喘持续状态长期 治疗 的临床疗效分析 ——附131例报告"
"大剂量茅根为主配方治疗急性肾炎","大剂量 茅根 为主 配方 治疗 急性肾炎"
"大剂量白花蛇舌草治疗直肠癌1例","大剂量 白花蛇舌草 治疗 直肠癌1例"
"大剂量黄芪治疗顽固性心力衰竭","大剂量 黄芪 治疗 顽固性心力衰竭"
"大剂量“六神丸”治愈12例顽固性头皮湿疹的体会","大剂量 “六神丸” 治愈12例顽固性头皮湿疹的 体会"
"复方丹参注射液、大剂量维生素C治疗小儿病毒性心肌炎","复方丹参注射液 、 大剂量 维生素C 治疗 小儿病毒性心肌炎"
"大剂量强力宁、654—2、大黄治疗重肝26例临床观察","大剂量 强力宁 、 654—2 、 大黄 治疗 重肝26例临床观察"
"大剂量细辛临床应用","大剂量 细辛 临床应用"
"大剂量复方丹参治疗急性粒细胞白血病并发弥散性血管内凝血一例","大剂量 复方丹参 治疗 急性粒细胞白血病 并发弥散性血管内凝血 一例"
"大剂量复方丹参治疗紫癜性肾炎21例","大剂量 复方丹参 治疗 紫癜性肾炎21例"
"大剂量茅根为主配方治疗急性肾炎","大剂量 茅根 为主 配方 治疗 急性肾炎"
"大剂量丹参参麦针治疗急性心肌梗塞12例","大剂量 丹参参麦针 治疗 急性心肌梗塞12例"
"大剂量威灵仙治愈食道癌术后吻合口狭窄","大剂量 威灵仙 治愈 食道癌术后吻合口狭窄"
"大剂量百合黄连阿胶汤治疗顽固性失眠5例","大剂量 百合黄连阿胶汤 治疗 顽固性失眠5例"
"中医辨证结合大剂量维脑路通治疗急性缺血性中风25例疗效观察","中医辨证 结合 大剂量 维脑路通 治疗 急性缺血性中风25例 疗效观察"
"大剂量复方丹参治疗过敏性紫癜10例报告","大剂量 复方丹参 治疗 过敏性紫癜10例 报告"
"大剂量三棱莪术的临床应用","大剂量 三棱莪术 的临床应用"
"大剂量用庆大霉素致白细胞减少1例","大剂量 用 庆大霉素 致 白细胞减少1例"
"大剂量小续命汤治愈格林一巴利综合征2例","大剂量 小续命汤 治愈 格林一巴利综合征2例"
"单味大剂量枳壳煎剂治愈贲门失弛缓症一例报告","单味 大剂量 枳壳 煎剂 治愈 贲门失弛缓症 一例 报告"
"大剂量白芍合仙灵脾治疗小儿咳喘验案两则","大剂量 白芍 合 仙灵脾 治疗 小儿咳喘 验案 两则"
"大剂量板蓝根、大青叶抢救乙脑","大剂量 板蓝根 、 大青叶 抢救 乙脑"
"寿而康和大剂量二丙酸倍氯米松治疗慢性阻塞性肺病的临床研究","寿而康 和 大剂量 二丙酸倍氯米松 治疗 慢性阻塞性肺病的临床研究"
"治愈大剂量链霉素引起毒性反应案","治愈 大剂量 链霉素 引起 毒性反应 案"
"大剂量肉桂治阳萎","大剂量 肉桂 治 阳萎"
"大剂量维生素C静注治疗黄褐斑55例","大剂量 维生素C 静注 治疗 黄褐斑55例"
"大剂量谷维素的临床新用","大剂量 谷维素 的临床新用"
"大剂量丹参注射液治疗缺血性脑血管病120例","大剂量 丹参注射液 治疗 缺血性脑血管病120例"
"论中药大剂量用药","论中药 大剂量 用药"
"论中药大剂量用药","论中药 大剂量 用药"
"大剂量别直参诱发抑郁症伴激越状态一例","大剂量 别直参 诱发抑郁症伴激越状态 一例"
"大剂量用药举隅","大剂量 用药 举隅"
"大剂量谷维素对神经衰弱病人的康复疗效观察(附180例分析)","大剂量 谷维素 对 神经衰弱病人的康复疗效观察 (附180例分析)"
"大剂量芪枣治愈重症肌无力一例","大剂量 芪枣 治愈 重症肌无力 一例"
"大剂量赤芍治疗急性黄疸型病毒性肝炎的疗效观察","大剂量 赤芍 治疗 急性黄疸型病毒性肝炎的 疗效观察"
"大剂量丹参、黄芪液深部痛点注射治疗软组织性腰腿痛(附43例临床报告)","大剂量 丹参 、 黄芪 液深部痛点注射 治疗 软组织性腰腿痛 (附43例临床报告)"
"大剂量维生素C静脉注射治疗顽固性角膜炎50例","大剂量 维生素C 静脉注射 治疗 顽固性角膜炎50例"
"大剂量炒大黄煎剂抢救应激性溃疡大出血1例报告","大剂量 炒大黄 煎剂 抢救 应激性溃疡大出血1例 报告"
"大剂量运用大黄的临症经验","大剂量 运用 大黄 的 临症经验"
"大剂量654—2治疗血栓闭塞性脉管炎3例","大剂量 654—2 治疗 血栓闭塞性脉管炎3例"
"大剂量柴胡治疗慢性肝病","大剂量 柴胡 治疗 慢性肝病"
